slp:resource_uri;cam:dataFalecimento;cam:dataNascimento;cam:ideCadastro;cam:nomeCivil;cam:nomeParlamentarAtual;sen:CodigoParlamentar;sen:NomeCompletoParlamentar;sen:NomeParlamentar
b76aea4a-0e45-4c94-8474-f5075697cdc6;;1969-04-26;;FLAVIA CARREIRO ALBUQUERQUE MORAIS;;;;
2ae20965-ef6f-4ffa-bb1f-9ded4ec5f47d;;1973-12-22;;GLAUSKSTON BATISTA RIOS;;;;
5f3bd362-7089-4563-8492-a36e3f821bdb;;1969-06-09;;ADRIANO ANTONIO AVELAR;;;;
c4f14b31-4c6f-4923-b5d4-55693632b5f6;;1961-01-20;;JORGE KAJURU REIS DA COSTA NASSER;;;;
04dabb5b-0c58-48a8-ab42-16735b8e288c;;1953-10-25;;ALCIDES RIBEIRO FILHO;;;;
35fc73e4-3683-4ce1-aaa0-5b7ede46be22;;1979-01-11;;PEDRO LUCAS ANDRADE FERNANDES RIBEIRO;;;;
04ff9632-3e39-4869-803c-8221f4f0faa3;;1973-11-11;;JOAO MARCELO SANTOS SOUZA;;;;
51b3284d-02f5-4c45-83f3-7c85ff8e2378;;1992-04-25;;ANTONIO DA CRUZ FILGUEIRA NETO;;;;
4b56e5d2-285c-4e62-b87b-10723a1d3289;;1976-12-01;;EDUARDO SALIM BRAIDE;;;;
b8be0b26-8b6c-44ba-ab66-fa4a611ecbe8;;1979-10-26;;GILLIANO FRED NASCIMENTO CUTRIM;;;;
9bd69928-3c1b-486c-8d6d-b11b1083719b;;1978-10-18;;JOSE LOURENCO BONFIM JUNIOR;;;;
b7dae6be-0615-4787-810c-4e3fccdb9de1;;1966-11-14;;MARCIO JERRY SARAIVA BARROSO;;;;
96314158-a191-4242-863c-83f0992db458;;1955-05-26;;JOSE CARLOS NUNES JUNIOR;;;;
9bf0cc77-4e34-4e38-bfdc-8bb1196e0cae;;1976-11-13;;JOSIMAR CUNHA RODRIGUES;;;;
d9a03a16-bf41-4c39-b007-f384d6740b1d;;1971-08-11;;GILDENEMIR DE LIMA SOUSA;;;;
f2b78484-3ec9-4f76-a32b-aa816d103bc8;;1968-01-11;;UBIRAJARA DO PINDARE ALMEIDA SOUSA;;;;
da2b4a62-13dc-406f-b983-014e2afc8340;;1981-04-05;;EDILAZIO GOMES DA SILVA JUNIOR;;;;
512b7f94-51da-48bd-835a-5367833d4c14;;1984-08-15;;EUCLYDES MARCOS PETTERSEN NETO;;;;
d27885a6-b552-4aab-838a-eb724ed95f8a;;1976-06-18;;ODAIR JOSE DA CUNHA;;;;
213e0339-8c91-427a-85aa-7c32f7c9e700;;1982-10-04;;IGOR TARCIANO TIMO;;;;
e93d3bea-69b7-4fcb-8e83-7361daea9f8e;;1984-05-05;;ANDRE LUIS GASPAR JANONES;;;;
9a299b28-1f10-4cd4-a23d-cfb59acf0cfe;;1977-03-24;;FREDERICO DE CASTRO ESCALEIRA;;;;
0f30522a-2f3b-4bea-a1af-aa3aadeb751d;;1966-06-08;;GILBERTO APARECIDO ABRAMO;;;;
14607f19-1382-4adb-aebb-6f4068252df1;;1970-01-10;;PAULO JOSE CARLOS GUEDES;;;;
5c2d7868-ebb2-41d2-92b7-6c213ca22302;;1983-11-20;;AUREA CAROLINA DE FREITAS E SILVA;;;;
3dac0d98-9289-40b7-b5a8-4499e48b2a7b;;1986-08-15;;TIAGO LIMA MITRAUD DE CASTRO LEITE;;;;
5be6fec2-ed4d-4f91-b6d6-d957462c2c0c;;1951-09-10;;JOSE LEONARDO COSTA MONTEIRO;;;;
425cfe12-85f7-41ee-9ac1-fdab84b592bf;;1987-06-30;;GERALDO JUNIO DO AMARAL;;;;
add18e54-5bef-4bce-be1b-5d0195fbde91;;1961-12-22;;FABIO AUGUSTO RAMALHO DOS SANTOS;;;;
c82d3637-9610-4928-80c2-a51e42a32959;;1963-11-05;;JOSE SILVA SOARES;;;;
6b230a58-fb93-40ad-a04f-f9631df00062;;1984-12-27;;CHARLLES THOMACELLI EVANGELISTA;;;;
3077a593-99f7-4694-9dd7-5e68476e023f;;1957-03-25;;DOMINGOS SAVIO CAMPOS RESENDE;;;;
2979ffbd-d37c-4602-bfce-2c761a9ac143;;1966-11-18;;JULIO CESAR DELGADO;;;;
ad57a48c-49f3-4ea3-9aa2-1451192173fb;;1950-10-06;;MARIA MARGARIDA MARTINS SALOMAO;;;;
7cfe8aa6-e116-47b8-97ad-33cefae6b560;;1958-11-01;;ROGERIO CORREIA DE MOURA BAPTISTA;;;;
b22463dd-cbaa-441d-a0e3-8eda9a74f738;;1988-12-21;;LUCAS DE VASCONCELOS GONZALEZ;;;;
fbc7051b-ab90-4a3b-93c9-13d5a190cd80;;1960-10-03;;AECIO NEVES DA CUNHA;;;;
5eec4c9d-4f6f-4181-b149-8c8599553718;;1967-10-03;;EMIDIO ALVES MADEIRA JUNIOR;;;;
6a00f30b-bc61-46da-a3be-7b9296f2205f;;1974-04-07;;ALESSANDRA DA SILVA;;;;
2deb5a99-36c6-4531-9e86-95033615daea;;1986-03-11;;FRANCO CARTAFINA GOMES;;;;
e8fb9725-026b-486b-9e25-7b635ffebd0a;;1967-02-28;;JOAO CARLOS SIQUEIRA;;;;
d7bcf408-b9eb-4791-9275-39f297b415f6;;1966-10-17;;LAFAYETTE LUIZ DOORGAL DE ANDRADA;;;;
6b830d42-02a1-4f84-891c-6c0476d727c8;;1981-12-15;;GREYCE DE QUEIROZ ELIAS;;;;
c4cad340-371b-4eb6-8f39-613d178e09ea;;1973-02-04;;REGINALDO LAZARO DE OLIVEIRA LOPES;;;;
de906fad-aa35-46be-ac05-9c5726bdb1bc;;1957-01-05;;VILSON LUIZ DA SILVA;;;;
1b6ba7dd-7584-40da-b650-3d27459487b1;;1977-12-07;;FREDERICO BORGES DA COSTA;;;;
3b30a2b5-7666-4f36-92c0-75ba0137f21b;;1984-01-11;;JOSE VITOR DE RESENDE AGUIAR;;;;
c0a19b37-b014-4d51-af00-d45dd48e3632;;1963-09-14;;HERCILIO ARAUJO DINIZ FILHO;;;;
7924add1-5944-45f6-866d-bf2541e50be7;;1991-05-30;;ANTONIO PINHEIRO NETO;;;;
61e36e58-cb54-4521-bce5-cb0ad28f82d5;;1973-10-26;;ELIEL MARCIO DO CARMO;;;;
28ffccb7-940c-40f4-ae35-e108075f9ff4;;1973-05-23;;DIMAS FABIANO TOLEDO JUNIOR;;;;
4c4e0c13-1471-4946-bd80-9fa7622a2622;;1952-01-26;;PATRUS ANANIAS DE SOUZA;;;;
14d8a290-4b08-4314-bd60-6bdd35ba1474;;1963-03-22;;CARLOS ALBERTO DIAS VIANA;;;;
f189702a-1a65-4c1a-8964-665382d91e6e;;1976-04-03;;MARCELO EDUARDO FREITAS;;;;
